City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
363,Pontianak,ID,73.38,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
364,Princeton,US,84.99,broken clouds,25.5384,-80.4089,American Best Inn
365,Shelui,TZ,72.5,clear sky,-4.3667,34.2,PARIS GUEST HOUSE
368,Brigantine,US,79.05,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
371,Temiscaming,CA,65.75,scattered clouds,46.7212,-79.0971,Auberge Canadienne
374,Ilhabela,BR,67.96,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
375,Terrace,CA,67.91,broken clouds,54.5163,-128.6035,Northern Motor Inn
376,Glenwood Springs,US,71.4,overcast clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
378,Miguel Hidalgo,MX,71.01,broken clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
379,Moose Factory,CA,66.2,broken clouds,51.2585,-80.6094,Moosonee Lilypad
381,Bhagalpur,IN,77.76,few clouds,25.25,87.0,Hotel Rajhans International-Best Hotel in Bhagalpur
383,Awbari,LY,85.1,clear sky,26.5921,12.7805,فندق أوباري
385,Siparia,TT,75.81,overcast clouds,10.1333,-61.5,Brook Gardens
386,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
387,Dalton,US,87.58,few clouds,34.7698,-84.9702,Hampton Inn Dalton
388,Mahanje,TZ,60.01,clear sky,-9.9333,35.3333,Amani social Hall
389,Tiarei,PF,82.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
390,Khazar,RU,71.28,clear sky,41.9974,48.3332,Hotel Moryana
394,San Policarpo,PH,77.92,overcast clouds,12.1791,125.5072,Agapita M. Nicart
395,Kasongo,CD,71.65,scattered clouds,-4.45,26.6667,Guest Hôtel
396,Suluq,LY,80.74,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
400,Flinders,AU,67.05,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
406,Havelock,US,83.95,scattered clouds,34.8791,-76.9013,Sherwood Motel
407,Champerico,GT,79.34,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
408,Ajdabiya,LY,82.94,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
410,Yulara,AU,60.21,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
411,Presidente Epitacio,BR,74.28,scattered clouds,-21.7633,-52.1156,Hotel Itaverá
412,Portel,BR,83.28,broken clouds,-1.9356,-50.8211,Kitnet do Marcos
413,Vikramasingapuram,IN,76.17,broken clouds,8.714,77.3893,Papanasam Lodge (Raja Lodge & Tourist Home)
416,Boa Vista,BR,75.18,thunderstorm,2.8197,-60.6733,Aipana Plaza Hotel
417,Tocopilla,CL,60.3,clear sky,-22.092,-70.1979,Hotel Galvarino
418,Broome,US,66.18,scattered clouds,42.2506,-75.833,Chenango Valley State Park
419,Pisco,PE,64.45,smoke,-13.7,-76.2167,Hotel San Isidro Oficial
420,Portland,US,88.32,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
421,Gorontalo,ID,76.19,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
422,Vila Franca Do Campo,PT,75.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
425,Kaeo,NZ,64.11,few clouds,-35.1,173.7833,Bushido Lodge
429,Namibe,AO,62.19,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
431,Acari,PE,62.98,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
432,Ha Giang,VN,74.1,broken clouds,22.8333,104.9833,Truong Xuan Resort
435,Maceio,BR,74.64,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
436,Wanning,CN,78.48,overcast clouds,18.8003,110.3967,Paradise Hotel
437,Bundaberg,AU,74.21,few clouds,-24.85,152.35,Takalvan Motel
438,Singaparna,ID,69.93,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
439,Chitral,PK,68.77,scattered clouds,35.8462,71.7858,PTDC Motel Chitral
442,Saint-Pierre,RE,69.48,overcast clouds,-21.3393,55.4781,Alize Plage
443,Melita,CA,60.55,scattered clouds,49.2681,-100.9967,Western Star Hotel
445,Ixtapa,MX,76.98,overcast clouds,20.7,-105.2,hotel la terminal
450,Jizan,SA,85.14,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
452,Calella,ES,75.22,clear sky,41.618,2.6678,Hotel htop Calella Palace Family & SPA
453,Alegrete,BR,61.95,overcast clouds,-29.7831,-55.7919,Hotel Alegrete
454,Adeje,ES,72.48,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
457,Cuamba,MZ,75.02,scattered clouds,-14.8031,36.5372,Hotel Vision
459,Metro,ID,74.16,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
461,Umm Lajj,SA,80.53,clear sky,25.0213,37.2685,Moon light Furnished Units
463,Terme,TR,67.93,light rain,41.2092,36.9739,OTEL GÜVEN TERME
465,Palu,ID,75.51,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
466,Tulsipur,NP,72.72,overcast clouds,28.131,82.2973,Ekanta Hotel Pvt. Ltd
469,Laguna,US,80.11,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
470,Saint-Joseph,RE,68.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
