City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Flinders,AU,-34.5833,150.8552,62.19,86,100,5.99,light rain
293,San Patricio,US,28.017,-97.5169,93.29,42,0,8.39,clear sky
294,Rioblanco,CO,3.5308,-75.6806,74.79,60,100,4.52,light rain
295,Kankaanpaa,FI,61.8,22.4167,34.56,81,41,1.83,scattered clouds
296,Severo-Kurilsk,RU,50.6789,156.125,47.82,75,6,15.17,clear sky
297,Dunedin,NZ,-45.8742,170.5036,43.81,89,9,3.15,clear sky
298,Aleksandrov Gay,RU,50.147,48.5704,71.13,35,100,3.89,overcast clouds
299,Grand Gaube,MU,-20.0064,57.6608,72.37,73,5,10.0,clear sky
300,Sargatskoye,RU,55.6101,73.4972,61.99,54,54,6.78,broken clouds
301,Salinopolis,BR,-0.6136,-47.3561,82.92,71,9,15.19,clear sky
302,Saint-Paul,RE,-21.0096,55.2707,69.91,78,0,1.5,clear sky
303,Port Hardy,CA,50.6996,-127.4199,55.58,71,20,4.61,few clouds
304,Kysyl-Syr,RU,63.8986,122.7617,25.74,88,29,8.12,scattered clouds
305,Tual,ID,-5.6667,132.75,82.56,75,100,8.16,overcast clouds
306,Huntsville,US,34.7304,-86.5861,96.91,46,40,5.99,scattered clouds
307,Henties Bay,NA,-22.116,14.2845,58.66,72,0,6.35,clear sky
308,Yerkoy,TR,39.6381,34.4672,59.23,72,94,7.72,overcast clouds
309,Puerto Narino,CO,-3.7703,-70.3831,97.99,36,51,2.24,broken clouds
310,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,93,100,14.97,overcast clouds
311,Sisimiut,GL,66.9395,-53.6735,36.12,97,100,8.61,light rain
312,Finschhafen,PG,-6.6024,147.8681,75.67,91,100,3.98,light rain
313,Port Elizabeth,ZA,-33.918,25.5701,63.1,91,0,8.05,clear sky
314,Omboue,GA,-1.5746,9.2618,76.55,83,100,8.66,overcast clouds
315,Norman Wells,CA,65.282,-126.8329,48.24,87,75,8.05,light rain
316,Talara,PE,-4.5772,-81.2719,74.16,60,100,24.16,dust
317,Haridwar,IN,29.9667,78.1667,73.53,95,98,0.74,overcast clouds
318,Malakal,SS,9.5334,31.6605,72.54,94,100,7.96,moderate rain
319,Padang,ID,-0.9492,100.3543,74.62,91,100,4.47,heavy intensity rain
320,Morehead,US,37.2711,-87.1764,97.0,41,0,6.91,clear sky
321,Lavrentiya,RU,65.5833,-171.0,39.97,97,100,27.54,light rain
322,Kavaratti,IN,10.5669,72.642,81.27,75,1,9.62,clear sky
323,Constitucion,CL,-35.3333,-72.4167,53.71,62,70,11.65,broken clouds
324,Port Hawkesbury,CA,45.6169,-61.3485,67.91,95,100,5.01,overcast clouds
325,Rio Grande,BR,-32.035,-52.0986,58.86,75,97,10.54,overcast clouds
326,Ukiah,US,39.1502,-123.2078,76.15,53,0,3.44,clear sky
327,Marolambo,MG,-20.05,48.1167,59.88,99,33,1.68,scattered clouds
328,Lorengau,PG,-2.0226,147.2712,78.21,81,93,4.79,overcast clouds
329,Huarmey,PE,-10.0681,-78.1522,67.32,70,100,13.27,overcast clouds
330,Tivaouane,SN,14.9515,-16.8129,84.54,72,100,12.48,overcast clouds
331,Balkanabat,TM,39.5108,54.3671,85.78,14,0,10.09,clear sky
332,Husavik,IS,66.0449,-17.3389,47.91,88,98,7.07,overcast clouds
333,Santiago Del Estero,AR,-27.7951,-64.2615,60.89,45,100,16.13,overcast clouds
334,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,83,20,11.5,few clouds
335,Mana,GF,5.6592,-53.7767,83.77,73,32,13.87,scattered clouds
336,Suhbaatar,MN,50.2314,106.2078,36.97,75,99,2.57,overcast clouds
337,Katangli,RU,51.7102,143.2326,49.35,78,16,13.13,few clouds
338,Rantepao,ID,-2.9701,119.8978,63.68,96,99,2.98,moderate rain
339,Talnakh,RU,69.4865,88.3972,34.21,96,100,16.89,snow
340,Piacabucu,BR,-10.4056,-36.4344,78.51,71,13,10.83,few clouds
341,Vila Do Maio,CV,15.1333,-23.2167,81.39,76,63,16.78,broken clouds
342,San Carlos Del Zulia,VE,9.0,-71.9135,88.47,57,37,4.97,scattered clouds
343,Acarau,BR,-2.8856,-40.12,82.33,69,19,20.42,few clouds
344,Okhotsk,RU,59.3833,143.3,37.54,49,0,27.56,clear sky
